Run,Operator,Calls,Accepted,AcceptanceRate,BestImprovements
1,LOCAL_SWAP,637727,48538,7.61109,130
1,GLOBAL_SWAP,531371,25086,4.721,68
1,2OPT,318088,18006,5.6607,30
1,INSERT,212860,12691,5.96213,32
1,REMOVE,212515,4749,2.23467,3
1,ROUTE_MERGE,212438,7028,3.30826,8
2,LOCAL_SWAP,637775,49846,7.81561,118
2,GLOBAL_SWAP,530800,25710,4.84363,62
2,2OPT,318522,18792,5.89975,20
2,INSERT,212668,12865,6.04934,27
2,REMOVE,212345,4803,2.26189,4
2,ROUTE_MERGE,212889,7243,3.40224,6
3,LOCAL_SWAP,637294,50096,7.86074,151
3,GLOBAL_SWAP,531269,26358,4.96133,56
3,2OPT,318917,18842,5.90812,38
3,INSERT,212078,13046,6.15151,33
3,REMOVE,213099,4787,2.24637,5
3,ROUTE_MERGE,212342,7386,3.47835,3
4,LOCAL_SWAP,636357,47451,7.45666,114
4,GLOBAL_SWAP,530973,24964,4.70156,77
4,2OPT,320217,18302,5.7155,29
4,INSERT,212883,12575,5.907,43
4,REMOVE,212182,4557,2.14768,1
4,ROUTE_MERGE,212387,7163,3.37262,7
5,LOCAL_SWAP,638350,51163,8.01488,116
5,GLOBAL_SWAP,531386,26474,4.98207,61
5,2OPT,317696,19126,6.02022,25
5,INSERT,211850,13274,6.26575,28
5,REMOVE,212656,5109,2.40247,1
5,ROUTE_MERGE,213061,7622,3.57738,6
6,LOCAL_SWAP,638147,48534,7.60546,100
6,GLOBAL_SWAP,531157,24969,4.70087,86
6,2OPT,318046,18238,5.73439,44
6,INSERT,212245,12631,5.95114,25
6,REMOVE,212718,4684,2.20198,2
6,ROUTE_MERGE,212686,7279,3.42242,4
7,LOCAL_SWAP,637702,47539,7.45474,100
7,GLOBAL_SWAP,529555,24792,4.68167,82
7,2OPT,319516,18068,5.6548,33
7,INSERT,212629,12577,5.915,40
7,REMOVE,212602,4638,2.18154,3
7,ROUTE_MERGE,212995,7090,3.32872,4
8,LOCAL_SWAP,637452,50393,7.90538,110
8,GLOBAL_SWAP,531012,26078,4.911,55
8,2OPT,318972,18975,5.9488,33
8,INSERT,211882,13278,6.2667,25
8,REMOVE,212859,5022,2.35931,0
8,ROUTE_MERGE,212822,7418,3.48554,4
9,LOCAL_SWAP,637487,47523,7.45474,128
9,GLOBAL_SWAP,531088,24643,4.6401,69
9,2OPT,318859,18140,5.68903,28
9,INSERT,212370,12346,5.81344,34
9,REMOVE,212395,4614,2.17237,3
9,ROUTE_MERGE,212800,6907,3.24577,9
10,LOCAL_SWAP,637390,48096,7.54577,118
10,GLOBAL_SWAP,530824,24975,4.70495,80
10,2OPT,318501,18252,5.73059,34
10,INSERT,212306,12937,6.09356,33
10,REMOVE,212870,4765,2.23846,5
10,ROUTE_MERGE,213108,7145,3.35276,2
11,LOCAL_SWAP,637940,47134,7.38847,121
11,GLOBAL_SWAP,530956,24128,4.54426,91
11,2OPT,318654,17716,5.55964,29
11,INSERT,212416,12481,5.87573,34
11,REMOVE,212683,4693,2.20657,2
11,ROUTE_MERGE,212350,6931,3.26395,4
12,LOCAL_SWAP,637887,47038,7.37403,105
12,GLOBAL_SWAP,531132,24514,4.61543,93
12,2OPT,318685,18073,5.67112,24
12,INSERT,212987,12477,5.8581,31
12,REMOVE,212509,4704,2.21355,4
12,ROUTE_MERGE,211799,6943,3.27811,5
13,LOCAL_SWAP,638099,49480,7.75428,126
13,GLOBAL_SWAP,530669,25593,4.82278,50
13,2OPT,318674,18517,5.81064,40
13,INSERT,211728,12930,6.10689,33
13,REMOVE,213005,4875,2.28868,3
13,ROUTE_MERGE,212824,7340,3.44886,6
14,LOCAL_SWAP,638924,47716,7.46818,104
14,GLOBAL_SWAP,531342,24737,4.65557,90
14,2OPT,318029,18172,5.71394,24
14,INSERT,212022,12607,5.94608,40
14,REMOVE,212503,4708,2.2155,0
